	   1	-2.6051100000e+07
	  20	-2.6740100000e+07
	  21	-2.6765000000e+07
	  28	-2.7716000000e+07
	  42	-2.7999400000e+07
	  52	-2.8143700000e+07
	  54	-2.8926100000e+07
	  63	-2.9258300000e+07
	  64	-2.9400300000e+07
	  65	-2.9406800000e+07
	  71	-2.9475100000e+07
	  73	-2.9641300000e+07
	 100	-2.9738300000e+07
	 111	-2.9790900000e+07
	 114	-3.0024300000e+07
	 130	-3.0037100000e+07
	 134	-3.1647100000e+07
	 137	-3.1761000000e+07
	 140	-3.1768800000e+07
	 148	-3.1907500000e+07
	 155	-3.2166200000e+07
	 186	-3.2170800000e+07
	 187	-3.2287700000e+07
	 189	-3.2465200000e+07
	 206	-3.2635700000e+07
	 211	-3.2636400000e+07
	 212	-3.2638200000e+07
	 241	-3.2646400000e+07
	 255	-3.2732900000e+07
	 260	-3.2870500000e+07
	 262	-3.2947200000e+07
	 269	-3.3196300000e+07
	 273	-3.3206200000e+07
	 286	-3.3287400000e+07
	 292	-3.3292900000e+07
	 293	-3.3396500000e+07
	 342	-3.3397500000e+07
	 377	-3.3398400000e+07
	 399	-3.4355700000e+07
	 405	-3.4356100000e+07
	 471	-3.4356700000e+07
	 504	-3.4357300000e+07
	 512	-3.4358000000e+07
	 528	-3.4358100000e+07
	 556	-3.4358300000e+07
	 961	-3.4358300000e+07
